Parcel ;Introduced_bee;Tree;Nb_buds;Release_date ;Monitoring_date;Day;Weather_grade;Tree_Bloom;Visit;Specie;time_F1;time_F2;time_F3;time_F4;time_F5;time_F6;time_F7;time_F8;time_F9;time_F10;time_F11;time_F12;time_F13;time_F14;time_F15;Average_time/flower;Stderror;nb of flower;
6;bicornis;apple;610;18/04/2019;22/04/2019;4;1;80;6;O.cornuta;2;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.5;0.707106781;2;
6;bicornis;apple;610;18/04/2019;22/04/2019;4;1;80;7;O.cornuta;6;4;4;3;4;3;4;NA;NA;NA;NA;NA;NA;NA;NA;4;1;7;
6;bicornis;apple;610;18/04/2019;22/04/2019;4;1;80;8;A.mellifera;6;11;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.333333333;2.516611478;3;
6;bicornis;apple;610;18/04/2019;22/04/2019;4;1;80;9;B.terrestris;4;3;3;2;2;3;;NA;NA;NA;NA;NA;NA;NA;NA;2.833333333;0.752772653;6;
6;bicornis;apple;610;18/04/2019;01/05/2019;13;1;100;1;O.cornuta;3;5;2;2;2;3;;NA;NA;NA;NA;NA;NA;NA;NA;2.833333333;1.169045194;6;
6;bicornis;apple;610;18/04/2019;01/05/2019;13;1;100;2;A.mellifera;7;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;1.732050808;3;
6;bicornis;apple;610;18/04/2019;01/05/2019;13;1;100;3;O.cornuta;3;4;5;4;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.6;1.140175425;5;
6;bicornis;apple;610;18/04/2019;01/05/2019;13;1;100;4;B.terrestris;2;3;2;3;2;3;2;3;2;3;3;3;2;2;4;2.6;0.632455532;15;
6;bicornis;apple;610;18/04/2019;01/05/2019;13;1;100;5;O.cornuta;3;3;2;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.6;0.547722558;5;
6;bicornis;apple;610;18/04/2019;01/05/2019;13;1;100;6;O.bicornis;2;2;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.25;0.5;4;
6;bicornis;apple;610;18/04/2019;01/05/2019;13;1;100;7;B.terrestris;10;4;3;2;5;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;5.166666667;2.926886856;6;
6;bicornis;apple;610;18/04/2019;01/05/2019;13;1;100;8;O.cornuta;2;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.5;0.707106781;2;
6;bicornis;apple;610;18/04/2019;01/05/2019;13;1;100;9;O.cornuta;2;4;3;12;3;8;2;4;6;4;3;2;8;2;NA;4.5;2.980707195;14;
6;bicornis;apple;610;18/04/2019;01/05/2019;13;1;100;10;O.cornuta;3;4;2;10;6;3;4;5;6;NA;NA;NA;NA;NA;NA;4.777777778;2.386303511;9;
7;cornuta;apple;635;18/04/2019;22/04/2019;4;1;20;1;A.mellifera;5;2;9;3;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.6;2.701851217;5;
7;cornuta;apple;635;18/04/2019;22/04/2019;4;1;20;2;B.terrestris;4;3;3;5;2;4;4;3;2;3;6;NA;NA;NA;NA;3.545454545;1.213559752;11;
7;cornuta;apple;635;18/04/2019;22/04/2019;4;1;20;3;B.terrestris;3;4;2;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.8;0.836660027;5;
7;cornuta;apple;635;18/04/2019;22/04/2019;4;1;20;4;B.terrestris;3;3;3;3;3;3;2;NA;NA;NA;NA;NA;NA;NA;NA;2.857142857;0.377964473;7;
7;cornuta;apple;635;18/04/2019;22/04/2019;4;1;20;5;B.terrestris;4;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.4;0.894427191;5;
