;Code;Parcel;Introduced_bee;Tree;Collection_date;Bee;Nb_sample;Ranuculacea;Rosacea;Quercus;Crucifera;Ericaceae;Fagus;Ilex;Salix;C..fenestrada...Asteràcia.fenestrada....Taraxacum.or.similar..;Pinus;Juglans;Aesculus;Corylus;Olea;unknown;Lamiacase..thymus..;Helleborus;Lamium;Betulaceae;Monocot;Polygonum
114;P5bC5;5;bicornis;cherry;09/04/2019;cornuta;5;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
115;P5bC6;5;bicornis;cheery;09/04/2019;cornuta;6;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
116;P5bC7;5;bicornis;cherry;13/04/2019;cornuta;7;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
117;P5bC8;5;bicornis;cheery;13/04/2019;cornuta;8;0;97.65258216;0;0;0;0;0;2.34741784;0;0;0;0;0;0;0;0;0;0;0;0;0
118;P5bC9;5;bicornis;cherry;13/04/2019;cornuta;9;0;70.58823529;0;0;0;0;0;29.41176471;0;0;0;0;0;0;0;0;0;0;0;0;0
119;P6bA1;6;bicornis;apple;24/04/2019;bicornis;1;0;6.896551724;93.10344828;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120;P6bA10;6;bicornis;apple;01/05/2019;bicornis;10;99.2481203;0.751879699;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
121;P6bA11;6;bicornis;apple;01/05/2019;bicornis;11;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
122;P6bA12;6;bicornis;apple;01/05/2019;cornuta;12;0;99.15966387;0;0;0;0;0;0;0;0.840336134;0;0;0;0;0;0;0;0;0;0;0
123;P6bA13;6;bicornis;apple;01/05/2019;cornuta;13;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
124;P6bA14;6;bicornis;apple;01/05/2019;cornuta;14;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125;P6bA15;6;bicornis;apple;01/05/2019;cornuta;15;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126;P6bA16;6;bicornis;apple;01/05/2019;cornuta;16;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
127;P6bA2;6;bicornis;apple;24/04/2019;bicornis;2;0;56.55172414;43.44827586;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128;P6bA3;6;bicornis;apple;24/04/2019;bicornis;3;0;13.63636364;86.36363636;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
129;P6bA4;6;bicornis;apple;24/04/2019;cornuta;4;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130;P6bA5;6;bicornis;apple;24/04/2019;cornuta;5;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131;P6bA6;6;bicornis;apple;24/04/2019;cornuta;6;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132;P6bA7;6;bicornis;apple;01/05/2019;bicornis;7;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133;P6bA8;6;bicornis;apple;01/05/2019;bicornis;8;0;4.444444444;95.55555556;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
134;P6bA9;6;bicornis;apple;01/05/2019;bicornis;9;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
135;P6cA1;6;cornuta;apple;20/04/2019;cornuta;1;0;93.41317365;0;0;0;0;0;6.586826347;0;0;0;0;0;0;0;0;0;0;0;0;0
136;P6cA2;6;cornuta;apple;20/04/2019;cornuta;2;0;96.75324675;0;0;0;0;0;1.298701299;1.298701299;0;0;0;0;0;0;0;0.649350649;0;0;0;0
137;P6cA3;6;cornuta;apple;20/04/2019;cornuta;3;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
138;P6cA4;6;cornuta;apple;22/04/2019;cornuta;4;0;89.92805755;0;0;0;0;0;0;0;0;0;0;0;0;10.07194245;0;0;0;0;0;0
139;P6cA5;6;cornuta;apple;22/04/2019;cornuta;5;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
